diagnosis,count,teşhis,description,department
heart attack,626,kalp krizi,"Kalp kasına kan akışının aniden kesilmesi sonucu ortaya çıkan durumdur. Genellikle göğüs ağrısı, nefes darlığı ve terleme gibi belirtilerle kendini gösterir.",kardiyoloji
depression,624,depresyon,"Kişinin ruh halini etkileyen, genellikle üzüntü, umutsuzluk ve ilgi kaybı gibi belirtilerle kendini gösteren bir durumdur. Genellikle stres, genetik faktörler veya biyokimyasal dengesizlikler sonucu ortaya çıkar.",psikiyatri
idiopathic painful menstruation,624,ağrılı adet kanaması,"Adet dönemlerinde normalden daha fazla ağrı olması durumudur. Genellikle hormonal dengesizlikler, rahim fibroidleri veya endometriozis gibi nedenlerle ortaya çıkar.",kadın hastalıkları ve doğum
brachial neuritis,624,brahiyal nörit,"Brahiyal pleksus adı verilen sinir ağına zarar veren bir durumdur. Genellikle omuz ve kol ağrısı, güçsüzlük ve uyuşma gibi belirtilerle kendini gösterir.",nöroloji
hemorrhoids,623,basur,"Rektum ve anüs çevresindeki damarların şişmesi ve iltihaplanmasıdır. Genellikle kabızlık, anal kanama ve ağrı gibi belirtilerle kendini gösterir.",gastroenteroloji
angina,623,anjina,"Kalp kasına kan akışının azalması sonucu ortaya çıkan göğüs ağrısıdır. Genellikle fiziksel aktivite, stres veya aşırı yemek yeme gibi durumlarda ortaya çıkar.",kardiyoloji
degenerative disc disease,623,dejeneratif disk hastalığı,"Omurlar arasındaki disklerin dejenerasyonu sonucu ortaya çıkan bir durumdur. Genellikle bel ve boyun ağrısı, uyuşma ve güçsüzlük gibi belirtilerle kendini gösterir.",nöroloji
sepsis,621,sepsis,"Vücudun enfeksiyona karşı aşırı tepki vermesi sonucu ortaya çıkan bir durumdur. Genellikle ateş, kalp atış hızında artış ve solunum zorluğu gibi belirtilerle kendini gösterir.",dahiliye
blepharitis,621,blefarit,"Göz kapaklarının iltihaplanmasıdır. Genellikle gözde kızarıklık, kaşıntı ve sulanma gibi belirtilerle kendini gösterir.",göz hastalıkları
developmental disability,621,gelişimsel engel,"Bireyin fiziksel, zihinsel veya sosyal gelişiminde gecikmelere neden olan durumdur. Genellikle doğuştan veya erken çocukluk döneminde ortaya çıkar ve öğrenme güçlükleri, iletişim sorunları ve sosyal etkileşim zorlukları gibi belirtilerle kendini gösterir.",çocuk hastalıkları
carpal tunnel syndrome,620,karpal tünel sendromu,"El bileğindeki sinirin sıkışması sonucu ortaya çıkan bir durumdur. Genellikle el ve parmaklarda uyuşma, karıncalanma ve güçsüzlük gibi belirtilerle kendini gösterir.",nöroloji
personality disorder,619,kişilik bozukluğu,"uzun dönemli, şiddetli ve dirençli düşünce ve davranış kalıplarıyla karakterize olmuş zihinsel bozukluklar sınıfıdır. Kişilik bozukluklarının tanımlanması ve kategorize edilmesi zordur. Kökeni kalıtsal veya çevresel olabileceği gibi, hem kalıtsal hem de çevresel olabilir.",psikiyatri
macular degeneration,618,sarı nokta hastalığı,"Gözün retina tabakasında meydana gelen dejenerasyon sonucu ortaya çıkan bir durumdur. Genellikle yaşlılık, genetik faktörler veya sigara kullanımı gibi nedenlerle ortaya çıkar ve görme kaybı, bulanık görme ve renk algısında değişiklik gibi belirtilerle kendini gösterir.",göz hastalıkları
cornea infection,617,kornea enfeksiyonu,"Gözün ön kısmındaki saydam tabakanın iltihaplanmasıdır. Genellikle bakteriyel, viral veya mantar enfeksiyonları sonucu ortaya çıkar ve gözde kızarıklık, sulanma ve ağrı gibi belirtilerle kendini gösterir.",göz hastalıkları
sinus bradycardia,614,sinüs bradikardi,"Kalp atış hızının normalden daha düşük olması durumudur. Genellikle kalp hastalıkları, ilaçlar veya elektrolit dengesizlikleri sonucu ortaya çıkar ve baş dönmesi, bayılma ve yorgunluk gibi belirtilerle kendini gösterebilir.",kardiyoloji
temporary or benign blood in urine,613,idrar kanaması,"İdrarda kan bulunması durumudur. Genellikle idrar yolu enfeksiyonları, böbrek taşları veya travma gibi nedenlerle ortaya çıkar ve idrarda kan, ağrı ve sık idrara çıkma gibi belirtilerle kendini gösterebilir.",üroloji
seborrheic keratosis,613,seboreik keratoz,"Ciltteki yağ bezlerinin aşırı büyümesi sonucu oluşan, genellikle zararsız ve iyi huylu lezyonlardır. Genellikle kahverengi veya siyah renkte olup, ciltte kabarık veya düz yüzeyli olabilirler.",dermatoloji
multiple sclerosis,610,MS,"Bağışıklık sisteminin sinir hücrelerine saldırması sonucu ortaya çıkan bir durumdur. Genellikle görme kaybı, denge sorunları, kas güçsüzlüğü ve uyuşma gibi belirtilerle kendini gösterir.",nöroloji
allergy,610,alerji,"Vücudun belirli maddelere aşırı tepki vermesi durumudur. Genellikle polen, toz, gıda veya ilaç gibi alerjenlere karşı ortaya çıkar ve kaşıntı, döküntü, burun akıntısı ve nefes darlığı gibi belirtilerle kendini gösterir.",dahiliye
skin polyp,607,cilt polibi,"Ciltte oluşan, genellikle zararsız ve iyi huylu tümörlerdir. Genellikle kahverengi veya cilt renginde olup, cilt yüzeyinde kabarık veya düz yüzeyli olabilirler.",dermatoloji
actinic keratosis,606,aktinik keratoz,"Güneş ışığına maruz kalma sonucu ciltte meydana gelen, genellikle zararsız ancak kanser riski taşıyan lezyonlardır. Genellikle kırmızı veya kahverengi renkte olup, ciltte kabarık veya düz yüzeyli olabilirler.",dermatoloji
seborrheic dermatitis,604,seboreik dermatit,"Ciltte yağ bezlerinin aşırı aktivitesi sonucu ortaya çıkan, genellikle kaşıntı, kızarıklık ve pullanma ile karakterize olan bir durumdur. Genellikle kafa derisi, yüz ve gövde gibi bölgelerde görülür.",dermatoloji
ear drum damage,604,kulak zarı hasarı,"Kulak zarının yırtılması veya hasar görmesi durumudur. Genellikle enfeksiyonlar, travma veya yüksek ses gibi nedenlerle ortaya çıkar ve kulakta ağrı, işitme kaybı ve akıntı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
hypertensive heart disease,603,hipertansif kalp hastalığı,"Yüksek tansiyonun kalp ve damar sistemine zarar vermesi sonucu ortaya çıkan bir durumdur. Genellikle göğüs ağrısı, nefes darlığı ve yorgunluk gibi belirtilerle kendini gösterebilir.",kardiyoloji
heart failure,601,kalp yetmezliği,"Kalbin vücuda yeterli kan pompalayamaması durumudur. Genellikle nefes darlığı, yorgunluk, ayak bileklerinde şişlik ve hızlı kalp atışı gibi belirtilerle kendini gösterir.",kardiyoloji
fracture of the rib,599,kaburga kırığı,"Kaburgaların kırılması durumudur. Genellikle travma, düşme veya kazalar sonucu ortaya çıkar ve göğüs ağrısı, nefes darlığı ve morarma gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
ischemic heart disease,597,kroner arter hastalığı,"Kalp kasına kan akışının azalması sonucu ortaya çıkan bir durumdur. Genellikle kalp krizi, angina ve kalp yetmezliği gibi komplikasyonlara yol açabilir.",kardiyoloji
